,total_pnl,total_pnl,total_pnl,total_pnl,total_pnl,total_trades,total_trades,total_trades,total_trades,total_trades,win_rate,win_rate,win_rate,win_rate,win_rate
classification,Extreme Fear,Extreme Greed,Fear,Greed,Neutral,Extreme Fear,Extreme Greed,Fear,Greed,Neutral,Extreme Fear,Extreme Greed,Fear,Greed,Neutral
Account,,,,,,,,,,,,,,,
0x083384f897ee0f19899168e3b1bec365f52a9012,124769.221441,-40282.335904,1113373.547515,276719.270187,125650.11674,100,945,1778,574,421,0.37,0.06666666666666667,0.5264341957255343,0.1602787456445993,0.5819477434679335
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,-4235.153050999999,35658.894935000004,-1658.7368009999998,30053.395556,-11933.080125,170,825,2622,2943,720,0.3,0.576969696969697,0.4782608695652174,0.4016309887869521,0.3611111111111111
0x271b280974205ca63b716753467d5a371de622ab,16706.884912,1793.1602149999999,30121.91049,-100019.806374,-19038.340561,797,5,1868,540,599,0.37641154328732745,0.8,0.3822269807280514,0.24444444444444444,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,-25666.012284,108009.960644,13422.524859,31192.591971,5505.749364,574,7481,1399,2970,887,0.2874564459930314,0.4444592968854431,0.4303073624017155,0.4484848484848485,0.46674182638105977
0x2c229d22b100a7beb69122eed721cee9b24011dd,11415.247787,90895.05041,3979.190772,20075.672949,42292.843076,112,1478,381,253,1015,0.6875,0.4878213802435724,0.4330708661417323,0.541501976284585,0.5753694581280788
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-56967.825773000004,30992.181771,-467.058896,-3531.989984,-1228.907104,263,161,256,102,33,0.11026615969581749,0.45962732919254656,0.6796875,0.7254901960784313,0.6060606060606061
0x39cef799f8b69da1995852eea189df24eb5cae3c,-76179.494853,14406.384865,54685.021109,10591.760255,10953.24796,1668,115,1471,63,272,0.302158273381295,0.4956521739130435,0.3222297756628144,0.4444444444444444,0.41544117647058826
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,110.553364,36870.155091,4256.559309,4239.816383,8019.163096,19,206,79,26,2,1.0,0.36893203883495146,0.620253164556962,0.5,0.5
0x420ab45e0bd8863569a5efbb9c05d91f40624641,9461.082288,4019.61859,99648.278349,12082.95,74293.663505,61,108,98,68,48,0.04918032786885246,0.23148148148148148,0.35714285714285715,0.029411764705882353,0.5208333333333334
0x430f09841d65beb3f27765503d0f850b8bce7713,0.0,124284.948775,5615.052102,227680.491734,58961.37973,79,15,237,772,134,0.0,1.0,0.10126582278481013,0.6373056994818653,0.5074626865671642
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,-14527.442518,67275.949439,9999.484228,36566.483324,4029.241688,391,3150,924,3398,656,0.26342710997442453,0.34285714285714286,0.37662337662337664,0.3507945850500294,0.43902439024390244
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,166696.399486,20496.054182,296781.722858,96392.783186,97380.090931,986,167,1396,1135,672,0.3093306288032454,0.3592814371257485,0.40902578796561606,0.5955947136563877,0.7529761904761905
0x4f93fead39b70a1824f981a54d4e55b278e9f760,74346.546606,129217.68646,-19126.158064,79023.471493,45514.323221,371,2446,1156,2334,1277,0.42857142857142855,0.3336058871627146,0.3555363321799308,0.34361610968294776,0.4267815191855912
0x513b8629fe877bb581bf244e326a047b249c4ff1,-71121.820704,0.0,367166.216924,163047.664946,381330.49405,346,223,5981,3169,2517,0.30346820809248554,0.0,0.3705066042467815,0.376459450930893,0.5542312276519666
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2037.258612,73192.077142,2040.359057,30203.401038,1258.120923,143,171,359,241,61,0.3076923076923077,0.8947368421052632,0.2200557103064067,0.5062240663900415,0.3770491803278688
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,33980.0,0.0,-58219.752261,453595.31817600003,0.0,509,98,311,593,79,0.6129666011787819,0.0,0.1607717041800643,0.31703204047217537,0.0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,198900.56161,573.585288,144514.3446,21077.717,-4526.698469,221,227,431,488,57,0.42081447963800905,0.004405286343612335,0.6450116009280742,0.12295081967213115,0.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,25672.838055,210726.855269,49364.275663,95937.394195,-2605.9564710000004,316,3831,1664,2618,1464,0.9145569620253164,0.8546071521795876,0.7794471153846154,0.807868601986249,0.7151639344262295
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,3222.822132,1260.832586,4036.552319,6775.291988000001,-395.0559780000001,825,3,544,83,104,0.47393939393939394,0.3333333333333333,0.46875,0.5301204819277109,0.1346153846153846
0x8170715b3b381dffb7062c0298972d4727a0a63b,12713.493131000001,-19135.913281,151292.732859,-360101.898234,47610.460743999996,159,98,1745,1653,946,0.27672955974842767,0.05102040816326531,0.2968481375358166,0.5468844525105868,0.30655391120507397
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,-4825.496358,11.717676000000012,258.41533,57108.9113,12960.109958,49,80,55,297,1430,0.20408163265306123,0.025,0.34545454545454546,0.48148148148148145,0.3195804195804196
0x8477e447846c758f5a675856001ea72298fd9cb5,1774.309786,56071.411052999996,9299.484548,-24036.539128,808.3427170000001,539,3986,1474,6804,2195,0.2504638218923933,0.3361766181635725,0.32700135685210313,0.19914756025867136,0.28109339407744877
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,3425.96095,63520.274683,-621.54506,60254.251561,0.0,68,1549,191,1199,45,0.4852941176470588,0.27953518398967075,0.0,0.3377814845704754,0.0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,1011.258943,47791.247782,12934.469345,35098.877549,9467.021637,270,3497,2324,4115,5399,0.22592592592592592,0.4235058621675722,0.31841652323580033,0.33754556500607535,0.31950361177995923
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,-961.048507,46411.26711,-16719.913714000002,44169.810737,-53.631353999999995,5,256,44,108,4,0.0,0.51953125,0.06818181818181818,0.9537037037037037,0.0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,622.41079,20925.513222,8129.3406589999995,38168.35486,0.0,80,190,123,170,0,0.075,0.5526315789473685,0.34959349593495936,0.4470588235294118,0.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,0.0,15.24474,14542.702934,43.2005,7157.683579,17,5,455,5,52,0.0,0.2,0.3274725274725275,0.4,0.38461538461538464
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,9544.906134,1105304.859175,93165.161357,534058.23633,401309.434693,739,1643,3005,5889,3457,0.3112313937753721,0.5100426049908704,0.3271214642262895,0.27322125997622687,0.3780734741105004
0xb899e522b5715391ae1d4f137653e7906c5e2115,-33221.806818,0.0,51692.358711,0.0,4017.948928,1577,0,2947,0,314,0.33608116677235256,0.0,0.5110281642348151,0.0,0.27388535031847133
0xbaaaf6571ab7d571043ff1e313a9609a10637864,261917.977792,0.0,620872.375844,4.672458,57368.780126,4480,0,12437,5,4270,0.3794642857142857,0.0,0.4982712872879312,0.2,0.47096018735363
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,37712.523408999994,6053.160569999998,236797.727737,30258.203855,-90302.553718,387,310,1181,350,413,0.25064599483204136,0.08387096774193549,0.4987298899237934,0.24285714285714285,0.16464891041162227
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,30774.092128,478811.468185,55978.79696,243399.51314,27116.682664,5079,6723,12901,7338,8143,0.41327032880488285,0.5963111706083594,0.37655995659251223,0.4647042790951213,0.34778337222154
